,id,pos,dist,angle,pitch-roll
0,[5],"(213, 190, 104, 102)",0.35293351650203114,-170.37349297780966,"(-0.15422802001869987, 0.008046730149565931)"
1,[5],"(213, 190, 104, 101)",0.3591954296668001,-170.17372655865788,"(-0.15541200871511193, 0.008110840529881206)"
2,[5],"(211, 187, 108, 107)",0.36325928111486905,-174.3708192284678,"(-0.21336100020839002, -0.022789778780842353)"
3,[5],"(210, 187, 109, 107)",0.3769763121619308,177.63641759130348,"(-0.18438974010340595, 0.03059302808477361)"
0,[5],"(213, 190, 104, 102)",0.4276692272717565,-179.04920092835843,"(-0.19460717003641145, 0.021187244786999276)"
1,[5],"(213, 190, 104, 101)",0.36305721215299414,-172.94081441129717,"(-0.16213397210044853, 0.027506922937137825)"
2,[5],"(210, 187, 109, 107)",0.4101086112696182,-178.95860620583403,"(-0.1633713870413812, 0.023760016855666824)"
3,[5],"(211, 187, 108, 107)",0.3664589895555452,-172.8452487282184,"(-0.16267515367122962, 0.01848931681084737)"
0,[5],"(213, 190, 104, 102)",0.3375388229032463,172.67921529307455,"(-0.1278634912232208, 0.04422168043240459)"
1,[5],"(213, 190, 104, 101)",0.34330752189752317,172.538897248333,"(-0.12803356617001158, 0.04508566338352586)"
2,[5],"(211, 187, 108, 107)",0.3492776363095154,172.39560680340384,"(-0.12813460786543193, 0.04597584855656137)"
3,[5],"(211, 187, 108, 107)",0.35478231653070214,178.80660920457646,"(-0.13180924266516708, 0.03678912581559447)"
0,[5],"(210, 187, 109, 107)",0.40373908947476683,-179.22490027853618,"(0.19335552020153723, 0.04143165418058358)"
1,[5],"(210, 187, 109, 107)",0.40149723610825383,179.21973012921055,"(-0.18625218371554852, 0.01999952058361379)"
0,[5],"(213, 190, 104, 102)",0.4276692272717565,-179.04920092835843,"(-0.19460717003641145, 0.021187244786999276)"
1,[5],"(213, 190, 104, 101)",0.3368921820695974,173.35232668230427,"(-0.20732632581831242, 0.024265052113372307)"
2,[5],"(210, 187, 109, 107)",0.3426187411831032,173.25092487524373,"(-0.2093312682836526, 0.02483226975168433)"
3,[5],"(211, 187, 108, 107)",0.3485452544372145,173.15023126574476,"(-0.21133682543577287, 0.025413386622131554)"
0,[5],"(211, 187, 108, 107)",0.4019847183911961,165.9555238255326,"(-0.18601842076765412, 0.044233783555783335)"
1,[5],"(211, 187, 108, 107)",0.4046328498054143,175.91201168089432,"(-0.1654006600171582, 0.02559024477885783)"
0,[5],"(213, 191, 104, 101)",0.43004489440280713,178.313995722271,"(-0.15227419408318638, 0.02126577656326263)"
1,[5],"(214, 191, 103, 101)",0.36895211096702235,-169.73759486634813,"(-0.14336917902863291, 0.03795450599825398)"
2,[5],"(210, 187, 109, 108)",0.4020468363506945,-176.89556887325702,"(0.21356304312569283, 0.04152226709385109)"
3,[5],"(211, 187, 108, 107)",0.40544253907777406,179.2900938076252,"(-0.16167615496277832, 0.023456032462826147)"
0,[5],"(213, 190, 104, 102)",0.4143332204548808,165.7480244484827,"(-0.19111680035251716, 0.045782936277924235)"
1,[5],"(213, 190, 104, 101)",0.41112942095610977,-176.95293810579074,"(-0.14128770858367118, 0.024846545779233092)"
2,[5],"(211, 187, 108, 107)",0.35786570723298644,-170.00106487070389,"(0.08474103838447691, 0.03458400386310262)"
3,[5],"(211, 187, 108, 107)",0.3793240044670987,179.2456322417661,"(-0.129992560654787, 0.027261080684290413)"
0,[5],"(279, 192, 109, 104)",0.413163833581896,162.28981637658063,"(-0.16849207202075928, 0.025312525892974013)"
1,[5],"(279, 192, 111, 103)",0.41793494424239946,165.6437180072583,"(-0.05234665730315062, 0.002488088306587368)"
0,[5],"(374, 194, 101, 100)",0.4246590518041454,174.80971317683236,"(-0.20495430718824603, -0.006645188296989204)"
1,[5],"(374, 194, 101, 100)",0.4272915178499108,-171.05282409053976,"(-0.1487753086129307, -0.03719886879327358)"
2,[5],"(371, 190, 107, 107)",0.36709115916494084,-155.64387158294048,"(-0.016411015040658256, -0.009163532883452761)"
3,[5],"(371, 190, 107, 107)",0.38776622041804365,-170.14157049962202,"(-0.15469284230260508, -0.049975551151165996)"
0,[5],"(374, 192, 101, 100)",0.4272947615166761,-171.1547909620321,"(-0.1463411894640243, -0.036830711627688945)"
1,[5],"(371, 189, 107, 106)",0.38097817782267596,-177.14651792358777,"(-0.10629751168138155, -0.04561456619068126)"
2,[5],"(371, 189, 107, 106)",0.4156696824255193,-169.95348024846444,"(-0.1608581248627375, -0.032726377745922915)"
0,[5],"(374, 192, 101, 100)",0.42862521891315775,-172.91942792249742,"(-0.13900360815604088, -0.037294284563857596)"
1,[5],"(371, 188, 107, 107)",0.3804083487170814,178.66250960478834,"(0.002807880821431454, -0.04500792254344601)"
2,[5],"(371, 189, 106, 106)",0.4156696824255193,-169.95348024846444,"(-0.1608581248627375, -0.032726377745922915)"
0,[5],"(373, 192, 102, 100)",0.36502455640309756,-155.29068762351815,"(0.06785665653907737, -0.02124872707611649)"
1,[5],"(374, 192, 101, 100)",0.37654071251469384,-161.63250773548194,"(0.07415380013113479, -0.034229395350624664)"
2,[5],"(371, 188, 107, 107)",0.41102443871691724,175.846736109149,"(-0.17796214290708184, -0.010385499672311357)"
3,[5],"(371, 188, 107, 107)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(374, 192, 101, 100)",0.36589847484086896,-176.16008188118184,"(-0.08770511281054659, -0.049687588708375405)"
1,[5],"(374, 192, 102, 100)",0.3726454568886618,-175.86095294401656,"(-0.09122530458391072, -0.050806047643516795)"
2,[5],"(371, 188, 107, 106)",0.3789756471137569,-173.06343735078903,"(-0.1006398788920577, -0.05170541980668352)"
3,[5],"(371, 188, 107, 107)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(374, 192, 101, 100)",0.3625167651165079,-161.42476694841122,"(-0.0672802696915724, -0.04907294773155139)"
1,[5],"(374, 192, 102, 100)",0.36872173973003686,-162.1718199579292,"(-0.07860252718232054, -0.04781877710026992)"
2,[5],"(371, 188, 107, 107)",0.3747884406271555,-161.76981363704618,"(-0.05685721583935606, -0.0442920282660896)"
3,[5],"(371, 188, 107, 107)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(373, 192, 102, 100)",0.364841416926078,-178.88447101632698,"(-0.0759262840066184, -0.02753211776553711)"
1,[5],"(374, 192, 101, 100)",0.3715362663741928,-178.76087988950854,"(-0.08093509995441038, -0.027931408511012588)"
2,[5],"(371, 188, 107, 107)",0.3784750025316112,-178.62697574895054,"(-0.08628079575680409, -0.02835352763451459)"
3,[5],"(371, 188, 107, 107)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(374, 192, 101, 100)",0.3610775228891748,-171.83196125843762,"(-0.14523026288371985, -0.050941649854036354)"
1,[5],"(374, 192, 101, 100)",0.3675655674091297,-171.56427448159417,"(-0.14834954379993262, -0.05224205852148407)"
2,[5],"(371, 188, 107, 106)",0.37429163904507223,-171.30764609536584,"(-0.15137403126078605, -0.05357478931361331)"
3,[5],"(371, 188, 107, 106)",0.38117486798589595,-168.3989219046038,"(-0.20380684095399063, -0.05598838889327211)"
0,[5],"(373, 192, 102, 100)",0.37589192015370754,178.78697575406892,"(0.03469840628603718, -0.04922879911394627)"
1,[5],"(374, 192, 102, 100)",0.37738605693722993,-176.77030023454148,"(0.2568382770571424, -0.06763937558708324)"
2,[5],"(371, 188, 107, 106)",0.41145890139437696,174.92090283480564,"(-0.14614604356441194, -0.0072926976574681154)"
3,[5],"(371, 188, 107, 106)",0.41748660671294446,-170.89849695668607,"(-0.09704277286681799, -0.02520747446267054)"
0,[5],"(374, 192, 102, 100)",0.4282392919615117,-172.75100125372086,"(-0.23185767132950313, -0.02921132185112265)"
1,[5],"(371, 188, 107, 106)",0.4119804224951741,175.3651246513865,"(-0.17252619597736615, -0.012741557883792491)"
2,[5],"(371, 189, 107, 105)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(371, 188, 106, 106)",0.4182726642984539,-171.12928533130759,"(-0.11166521121139242, -0.022578366227788558)"
0,[5],"(374, 191, 101, 101)",0.4412871643241943,-170.9812686051342,"(-0.15024158163372714, -0.027197351574108273)"
1,[5],"(374, 192, 101, 100)",0.37767359416913987,175.76870814498943,"(-0.030978838272177723, -0.04832071811005989)"
2,[5],"(371, 188, 107, 106)",0.3813588188830607,-176.6649250034019,"(-0.08565620124283119, -0.05150572377331421)"
3,[5],"(371, 188, 107, 106)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(374, 192, 101, 100)",0.37598658057749024,-166.33995240789068,"(-0.2962049448370769, -0.07839147576291282)"
1,[5],"(374, 192, 101, 100)",0.42038301278456364,177.16427252451385,"(-0.15226272900136517, -0.01785070207391156)"
2,[5],"(371, 188, 107, 106)",0.42271339735701957,-166.61387981943915,"(-0.1511005580706461, -0.04039721461392207)"
3,[5],"(371, 188, 107, 107)",0.3847506666480377,-170.86793800377583,"(-0.16511422383696106, -0.04601818582472153)"
0,[5],"(371, 188, 107, 106)",0.37372250193645307,-154.7676702722832,"(-0.01263818326756231, -0.02952794721403119)"
0,[5],"(374, 191, 101, 101)",0.3776044940847759,-171.39900540695743,"(-0.12962076836000772, -0.04171559204076208)"
1,[5],"(371, 188, 107, 106)",0.38650934076872956,-169.3914941298895,"(-0.16189721591787812, -0.048410196118161004)"
0,[5],"(374, 191, 101, 101)",0.3711080915409546,-168.42006704462594,"(-0.11204958851157926, -0.06969556640020277)"
1,[5],"(374, 191, 101, 101)",0.3779222303017817,-168.07386841668816,"(-0.11432262005969504, -0.07139065852335512)"
2,[5],"(371, 188, 107, 106)",0.37895856235941344,172.48504044175903,"(0.009871657194900971, -0.04351069179632783)"
3,[5],"(371, 188, 107, 107)",0.3877725436199735,-170.23676692409921,"(-0.15232695477117664, -0.049570759185989605)"
0,[5],"(374, 191, 101, 101)",0.36883807894315035,-169.3446898648698,"(-0.11217385355269965, -0.05670152215071719)"
1,[5],"(374, 192, 101, 100)",0.3746126508089657,-168.71511060330403,"(-0.12038851828230035, -0.05609595567149482)"
2,[5],"(371, 188, 107, 106)",0.3815926863558932,-168.52960979153124,"(-0.12325358550112984, -0.0573910709939537)"
3,[5],"(371, 188, 106, 106)",0.4159751403527854,-173.42126898563228,"(-0.15674201992271944, -0.02234993689235456)"
0,[5],"(374, 192, 101, 100)",0.409324041328016,175.0028458266899,"(-0.17959770270426414, -0.006180990817451905)"
1,[5],"(371, 188, 107, 106)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(374, 191, 101, 101)",0.4412871643241943,-170.9812686051342,"(-0.15024158163372714, -0.027197351574108273)"
1,[5],"(374, 192, 101, 100)",0.3672446712611836,-155.51312398937674,"(0.029198982309721414, -0.022133265035786286)"
2,[5],"(371, 188, 107, 106)",0.4214589387037617,-167.71813859468065,"(-0.1341021869051872, -0.032563015087779514)"
3,[5],"(371, 188, 107, 106)",0.3708760770010832,-154.60855999638574,"(0.0077829005607012655, -0.013769903998602277)"
0,[5],"(371, 188, 107, 106)",0.3652691281204692,-151.74964971854496,"(-0.03394612176715238, -0.03495040922260889)"
1,[5],"(371, 188, 107, 106)",0.3847143483388429,-169.26569343824426,"(-0.2107109773805044, -0.04498759169406286)"
0,[5],"(374, 192, 101, 100)",0.4427766350245972,-172.817963268736,"(-0.14166893492010546, -0.02758475972274485)"
1,[5],"(374, 192, 101, 100)",0.37422519849473096,-164.55171801260596,"(-0.10166486225010538, -0.07639647340493846)"
2,[5],"(371, 188, 107, 106)",0.3759356377944113,-158.17848504391105,"(-0.1149831174956308, -0.061874601239684295)"
3,[5],"(371, 188, 107, 107)",0.3832200367824084,-164.88035789456512,"(-0.12152221743790294, -0.05960972090237602)"
0,[5],"(373, 192, 102, 100)",0.4427766350245972,-172.817963268736,"(-0.14166893492010546, -0.02758475972274485)"
1,[5],"(374, 192, 101, 100)",0.3733804113271479,-175.2875567376,"(0.04696682382080528, -0.04062490732947426)"
2,[5],"(371, 188, 106, 106)",0.38037085057319314,-175.2083489214136,"(0.05058885060803163, -0.04142256078300861)"
3,[5],"(371, 188, 106, 106)",0.4155963010566063,-173.20239767631332,"(-0.13451960641658545, -0.025415542348465204)"
0,[5],"(283, 193, 99, 98)",0.3654557839485603,-179.4188437104796,"(-0.20541015045269445, 0.030469728350691172)"
1,[5],"(282, 193, 100, 99)",0.3710873232011424,179.72360448653401,"(-0.21430181269059775, 0.030237122999380136)"
2,[5],"(280, 190, 105, 103)",0.4044380608579647,170.47297581895086,"(-0.19082749518265146, 0.024758522647492752)"
3,[5],"(279, 190, 106, 104)",0.4083393161155133,-178.8379551140519,"(-0.17205015710655236, 0.007205965251924321)"
0,[5],"(274, 193, 101, 99)",0.36638854088675005,-174.33339369967916,"(-0.12403471860361237, 0.012495517002908716)"
1,[5],"(274, 193, 101, 99)",0.37292664809192105,-177.38459244195252,"(-0.12941207115743883, 0.013760511933210191)"
2,[5],"(274, 191, 104, 103)",0.4028290336683411,169.19122389038654,"(-0.19251964899740687, 0.028854865172192337)"
3,[5],"(272, 190, 106, 104)",0.4080191230056762,-179.71806697538142,"(-0.14879404838492624, 0.010353267648404196)"
